type,word,industry,added_at,added_by_run_id,pattern_tag
domain,Thermostat,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Furnace,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Refrigerant,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Ductwork,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Compressor,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Filtration,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Callout,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Airflow,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Insulation,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Vent,hvac_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Keyway,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Rekey,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Deadbolt,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Lockout,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Cylinder,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Masterkey,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Safe,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Duplication,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Bypass,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Rekeying,locksmith_security_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Glossary,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Localization,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Dialect,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Turnaround,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Proofing,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Terminology,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Assignment,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Fluency,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Transcript,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
domain,Certification,interpreter_translation_services,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Workbench,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Toolkit,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Playbook,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Journal,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Snapshot,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Guidebook,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Registry,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Blueprint,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Almanac,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Compendium,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Codex,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Roadmap,,2026-08-18T21:05:23.906914+09:00,QA-20260818-210404-KST,
function,Calendar,,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST,
function,Directory,,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST,
function,Locator,,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST,
function,Finder,,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST,
function,Depot,,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST,
function,Office,,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST,
function,Counter,,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST,
domain,Triage,healthcare,2026-08-18T23:49:31.453546+09:00,QA-20260818-234836-KST,
