Accreditation Handbook	A	T	T	T	0.6	통번역 인증 절차 핸드북으로 짐작 가능
Accreditation Timetable	A	T	T	T	0.6	인증 심사 일정표로 짐작 가능
Accreditation Tutorial	A	T	T	T	0.6	통번역 자격 인증 튜토리얼, 실무 용어
Accrual Handbook	A	T	T	T	0.6	발생주의 회계 핸드북으로 짐작 가능
Accrual Timetable	A	T	T	T	0.6	결산 일정표로 짐작 가능
Accrual Tutorial	A	T	T	T	0.6	발생주의 회계 튜토리얼, 재무 실무 용어
Addendum Flyer	A	T	T	T	0.6	계약 추가조항 안내 전단 도구
Addendum Handbook	A	T	T	T	0.6	계약 추가 조항 핸드북으로 짐작 가능
Addendum Opinion	A	T	T	T	0.6	계약 추가조항 검토 의견 도구
Addendum Timetable	A	T	T	T	0.6	부동산 계약 추가조항 기한 일정 도구
Addendum Tutorial	A	T	T	T	0.6	부동산 계약 추가 조항 튜토리얼, real_estate 실무 콘텐츠
Admission Handbook	A	T	T	T	0.6	시니어 시설 입소 핸드북으로 짐작 가능
Admission Tutorial	A	T	T	T	0.6	시니어 시설 입소 절차 튜토리얼, 실무 용어
Afterparty Handbook	A	T	T	T	0.6	파티 기획 핸드북으로 짐작 가능
Afterparty Tutorial	A	T	T	T	0.6	파티 기획 튜토리얼로 짐작 가능, events 실검색
Airflow Handbook	A	T	T	T	0.6	기류 설계 핸드북으로 짐작 가능
Airflow Tutorial	A	T	T	T	0.6	환기 기류 설계 튜토리얼, HVAC 실용어
Aisle Handbook	A	T	T	T	0.6	결혼식 통로 준비 핸드북으로 짐작 가능
Aisle Tutorial	A	T	T	T	0.6	결혼식 통로 장식 튜토리얼, wedding 실검색
Album Handbook	A	T	T	T	0.6	사진앨범 제작 핸드북으로 짐작 가능
Album Tutorial	A	T	T	T	0.6	사진앨범 제작 튜토리얼, 소비자 실검색
Alignment Handbook	A	T	T	T	0.6	얼라인먼트 작업 핸드북으로 짐작 가능
Alignment Tutorial	A	T	T	T	0.6	휠 얼라인먼트 튜토리얼, automotive 실검색
Amortization Handbook	A	T	T	T	0.6	분할상환 핸드북으로 짐작 가능
Amortization Tutorial	A	T	T	T	0.6	분할상환 계산 튜토리얼, finance 실무어
Annuity Handbook	A	T	T	T	0.6	연금 운영 핸드북
Annuity Timetable	A	T	T	T	0.6	연금 지급 일정 관리 도구
Annuity Tutorial	A	T	T	T	0.6	연금 상품 안내 튜토리얼
Applicant Handbook	A	T	T	T	0.6	지원자 핸드북으로 짐작 가능
Applicant Tutorial	A	T	T	T	0.6	채용 지원 절차 튜토리얼, recruiting 실용어
Application Handbook	A	T	T	T	0.6	보험 가입 신청 핸드북으로 짐작 가능
Application Tutorial	A	T	T	T	0.6	보험 가입 신청 절차 튜토리얼, 실무 용어
Aquarium Handbook	A	T	T	T	0.6	수족관 안내 핸드북으로 짐작 가능
Aquarium Tutorial	A	T	T	T	0.6	수족관 방문·관리 튜토리얼, 소비자 실검색
Arbitration Handbook	A	T	T	T	0.6	분쟁 중재 핸드북으로 짐작 가능
Arbitration Tutorial	A	T	T	T	0.6	분쟁 중재 절차 튜토리얼, insurance 실무어
Arrangement Handbook	A	T	T	T	0.6	장례 준비 핸드북으로 짐작 가능
Arrangement Tutorial	A	T	T	T	0.6	장례 준비 튜토리얼, funeral 실검색
Assembly Handbook	A	T	T	T	0.6	조립 작업 핸드북으로 짐작 가능
Assembly Tutorial	A	T	T	T	0.6	조립 작업 튜토리얼, manufacturing 실무어
Attendee Handbook	A	T	T	T	0.6	행사 참가자 핸드북으로 짐작 가능
Attendee Tutorial	A	T	T	T	0.6	행사 참가자 관리 튜토리얼, events 실용어
Attic Handbook	A	T	T	T	0.6	다락방 활용 핸드북으로 짐작 가능
Attic Tutorial	A	T	T	T	0.6	다락방 활용 튜토리얼, 홈개선 실검색
Attrition Handbook	A	T	T	T	0.6	이직률 관리 핸드북으로 짐작 가능
Attrition Tutorial	A	T	T	T	0.6	이직률 관리 튜토리얼, HR 실용어
Audience Handbook	A	T	T	T	0.6	오디언스 분석 핸드북으로 짐작 가능
Audience Tutorial	A	T	T	T	0.6	오디언스 분석 튜토리얼, marketing 실무어
Auscultation Handbook	A	T	T	T	0.6	청진 학습 핸드북으로 짐작 가능
Auscultation Timetable	A	T	T	T	0.6	청진 실습 일정표로 짐작 가능
Auscultation Tutorial	A	T	T	T	0.6	청진 학습 튜토리얼, 의료 교육 실검색
Babysitter Handbook	A	T	T	T	0.6	베이비시터 육아 핸드북으로 짐작 가능
Babysitter Tutorial	A	T	T	T	0.6	베이비시터 육아 튜토리얼, 소비자 실검색
Backdrop Handbook	A	T	T	T	0.6	촬영 배경막 핸드북으로 짐작 가능
Backdrop Tutorial	A	T	T	T	0.6	촬영 배경막 설치 튜토리얼, photography 실검색
Backflow Flyer	A	T	T	T	0.6	역류 방지 업체 홍보 전단
Backflow Handbook	A	T	T	T	0.6	역류 방지 시공 핸드북
Backflow Timetable	A	T	T	T	0.6	역류 방지 검사 일정표
Backflow Tutorial	A	T	T	T	0.6	역류 방지 시공 튜토리얼
Backpacker Assistant	A	T	T	T	0.6	배낭여행 계획 보조 도구
Backpacker Atlas	A	T	T	T	0.6	배낭여행 코스 아틀라스 도구
Backpacker Checkin	A	T	T	T	0.6	투어 당일 체크인으로 짐작 가능
