Roadtrip Spec	R	F	T	T	0.6	결합 불성립
Accordion Quantity	R	F	T	T	0.6	수량 대상 불분명
Allergy Login	R	F	T	T	0.6	결합 불성립
Wire Analysis	R	F	T	T	0.6	분석 대상 불분명
Divorce Coach	R	F	T	T	0.6	코칭 대상 불분명
Chassis Habit	R	F	T	T	0.6	결합 불성립
Custody Center	R	F	T	T	0.6	기관 지칭으로 서비스 대상 불분명
Immigration Booth	R	F	T	T	0.6	시설 지칭으로 불성립
Testament Feed	R	F	T	T	0.6	Testament 계열 기각 선례
Notary Recap	R	F	T	T	0.6	요약 대상 불분명
Mediation Category	R	F	T	T	0.6	결합 불성립
Guardianship Schematic	R	F	T	T	0.6	회로도 어휘 부자연
Trademark Rank	R	F	T	T	0.6	결합 불성립
Patent Lookup	A	T	T	T	0.55	특허 검색 도구(실재 기능)
Copyright Video	R	F	T	T	0.6	결합 불성립
Orthodontics App	A	T	T	T	0.6	교정 치료 관리 앱(실재 카테고리)
Stroller Tips	A	T	T	T	0.55	유모차 관리 팁(App→Tips 평행)
Spa Advice	R	T	F	T	0.65	동일 배치 승인된 Spa App/Tips와 동일 기능 의미 중복
Curb Mode	R	F	T	T	0.6	기능 토글로 읽혀 제품 불분명
Vineyard Spec	R	F	T	T	0.6	결합 불성립
Accompanist Quantity	R	F	T	T	0.6	수량 대상 불분명
Illness Login	R	F	T	T	0.6	결합 불성립
Debtor Analysis	R	F	T	T	0.6	분석 대상 불분명
Flatbed Coach	R	F	T	T	0.6	코칭 대상 불분명
Neighborhood Habit	R	F	T	T	0.6	결합 불성립
Migraine Unit	R	F	T	T	0.6	결합 불성립
Insomnia Tax	R	F	T	T	0.6	결합 불성립
Skydiving Fund	R	F	T	T	0.6	결합 불성립
Acne Cash	R	F	T	T	0.6	결합 불성립
Snowboarding Allowance	R	F	T	T	0.6	결합 불성립
Eczema Tariff	R	F	T	T	0.6	결합 불성립
Ziplining Margin	R	F	T	T	0.6	결합 불성립
Psoriasis Fine	R	F	T	T	0.6	결합 불성립
Sledding Link	R	F	T	T	0.6	결합 불성립
Vertigo Rule	R	F	T	T	0.6	결합 불성립
Diving Category	R	F	T	T	0.6	결합 불성립
Arthritis Attribute	R	F	T	T	0.6	결합 불성립
Sailing Serial	R	F	T	T	0.6	결합 불성립
Menopause Token	R	F	T	T	0.6	결합 불성립
Rafting Balance	R	F	T	T	0.6	결합 불성립
Pregnancy Interest	R	F	T	T	0.6	결합 불성립
Climbing Due	R	F	T	T	0.6	결합 불성립
Fertility Subsidy	R	F	T	T	0.6	결합 불성립
Biking Advance	R	F	T	T	0.6	결합 불성립
Thyroid Penalty	R	F	T	T	0.6	결합 불성립
Golf Extension	R	F	T	T	0.6	결합 불성립
Cholesterol Trial	R	F	T	T	0.6	결합 불성립
Fishing Manual	R	F	T	T	0.6	설명 대상 불분명
Hypertension Worksheet	R	F	T	T	0.6	학습지 근거 약함
Camping Layout	R	F	T	T	0.6	결합 불성립
Anemia Sketch	R	F	T	T	0.6	제품성 불분명
Glamping Notification	R	F	T	T	0.6	결합 불성립
Heartburn Kit	R	F	T	T	0.6	키트 대상 불분명
Stargazing Total	R	F	T	T	0.6	결합 불성립
Constipation Widget	R	F	T	T	0.6	위젯 대상 불분명
Birdwatching Calculator	R	F	T	T	0.6	계산 대상 불분명
Concussion Converter	R	F	T	T	0.6	변환 대상 불분명
Canyon Recorder	R	F	T	T	0.6	기록 대상 불분명
Sprain Estimator	R	F	T	T	0.6	산출 대상 불분명
Geyser Checker	R	F	T	T	0.6	검사 대상 불분명
Fracture Detector	R	F	T	T	0.6	탐지 대상 불분명
Fjord Timer	R	F	T	T	0.6	결합 불성립
Insulin Workshop	R	F	T	T	0.6	결합 불성립
Savanna Guardian	R	F	T	T	0.6	감시 대상 불분명
Tundra Helper	R	F	T	T	0.6	결합 불성립
Prairie Stage	R	F	T	T	0.6	결합 불성립
Marsh Result	R	F	T	T	0.6	결합 불성립
Cove Streak	R	F	T	T	0.6	결합 불성립
Cliff Rank	R	F	T	T	0.6	결합 불성립
Cavern Trend	R	F	T	T	0.6	결합 불성립
Oasis Comparison	R	F	T	T	0.6	비교 대상 불분명
Dune Proposal	R	F	T	T	0.6	제안 대상 불분명
Whale Guarantee	R	F	T	T	0.6	결합 불성립
Dolphin Record	R	F	T	T	0.6	기록 대상 불분명
Penguin Copy	R	F	T	T	0.6	결합 불성립
Flamingo Reading	R	F	T	T	0.6	결합 불성립
Turtle Reference	R	F	T	T	0.6	결합 불성립
Moose Forecast	R	F	T	T	0.6	예측 대상 불분명
Bison Deadline	R	F	T	T	0.6	결합 불성립
Reindeer Duration	R	F	T	T	0.6	결합 불성립
Archive App	A	T	T	T	0.6	미디어 아카이브 관리 앱(DAM 실재 카테고리)
Driver Tips	A	T	T	T	0.55	운전기사 관리 팁(App→Tips 평행)
Roaming Advice	R	T	F	T	0.65	동일 배치 승인된 Roaming App/Tips와 동일 기능 의미 중복
Audit Workbook	R	F	T	T	0.6	워크북 대상 불분명
Pipeline Mode	R	F	T	T	0.6	기능 토글로 읽혀 제품 불분명
Refund Spec	R	F	T	T	0.6	결합 불성립
Reference Quantity	R	F	T	T	0.6	수량 대상 불분명
Agenda Login	R	F	T	T	0.6	결합 불성립
Financing Analysis	R	F	T	T	0.6	분석 대상 불분명
Compliance Coach	R	F	T	T	0.6	코칭 대상 불분명
Appointment Habit	R	F	T	T	0.6	결합 불성립
Appraisal App	A	T	T	T	0.6	차량 감정 평가 앱(실재 카테고리)
Franchise Tips	A	T	T	T	0.55	프랜차이즈 운영 팁(App→Tips 평행)
Discharge Advice	R	T	F	T	0.65	동일 배치 승인된 Discharge App/Tips와 동일 기능 의미 중복
Xray Workbook	R	F	T	T	0.6	워크북 대상 불분명
Session Mode	R	F	T	T	0.6	기능 토글로 읽혀 제품 불분명
Milestone Spec	R	F	T	T	0.6	결합 불성립
Wellness Quantity	R	F	T	T	0.6	수량 대상 불분명
Scheduling Login	R	F	T	T	0.6	결합 불성립
Snow Analysis	R	F	T	T	0.6	분석 대상 불분명
